,date_time,date_time_str
0,1662885134.0,2022-09-11 09:32:14.000000
1,1662885134.25,2022-09-11 09:32:14.250000
2,1662885134.5,2022-09-11 09:32:14.500000
3,1662885134.75,2022-09-11 09:32:14.750000
4,1662885135.0,2022-09-11 09:32:15.000000
5,1662885135.25,2022-09-11 09:32:15.250000
6,1662885135.5,2022-09-11 09:32:15.500000
7,1662885135.75,2022-09-11 09:32:15.750000
8,1662885136.0,2022-09-11 09:32:16.000000
9,1662885136.25,2022-09-11 09:32:16.250000
10,1662885136.5,2022-09-11 09:32:16.500000
11,1662885136.75,2022-09-11 09:32:16.750000
12,1662885137.0,2022-09-11 09:32:17.000000
13,1662885137.25,2022-09-11 09:32:17.250000
14,1662885137.5,2022-09-11 09:32:17.500000
15,1662885137.75,2022-09-11 09:32:17.750000
16,1662885138.0,2022-09-11 09:32:18.000000
17,1662885138.25,2022-09-11 09:32:18.250000
18,1662885138.5,2022-09-11 09:32:18.500000
19,1662885138.75,2022-09-11 09:32:18.750000
20,1662885139.0,2022-09-11 09:32:19.000000
21,1662885139.25,2022-09-11 09:32:19.250000
22,1662885139.5,2022-09-11 09:32:19.500000
23,1662885139.75,2022-09-11 09:32:19.750000
24,1662885140.0,2022-09-11 09:32:20.000000
25,1662885140.25,2022-09-11 09:32:20.250000
26,1662885140.5,2022-09-11 09:32:20.500000
27,1662885140.75,2022-09-11 09:32:20.750000
28,1662885141.0,2022-09-11 09:32:21.000000
29,1662885141.25,2022-09-11 09:32:21.250000
30,1662885141.5,2022-09-11 09:32:21.500000
31,1662885141.75,2022-09-11 09:32:21.750000
32,1662885142.0,2022-09-11 09:32:22.000000
33,1662885142.25,2022-09-11 09:32:22.250000
34,1662885142.5,2022-09-11 09:32:22.500000
35,1662885142.75,2022-09-11 09:32:22.750000
36,1662885143.0,2022-09-11 09:32:23.000000
37,1662885143.25,2022-09-11 09:32:23.250000
38,1662885143.5,2022-09-11 09:32:23.500000
39,1662885143.75,2022-09-11 09:32:23.750000
40,1662885144.0,2022-09-11 09:32:24.000000
41,1662885144.25,2022-09-11 09:32:24.250000
42,1662885144.5,2022-09-11 09:32:24.500000
43,1662885144.75,2022-09-11 09:32:24.750000
44,1662885145.0,2022-09-11 09:32:25.000000
45,1662885145.25,2022-09-11 09:32:25.250000
46,1662885145.5,2022-09-11 09:32:25.500000
47,1662885145.75,2022-09-11 09:32:25.750000
48,1662885146.0,2022-09-11 09:32:26.000000
49,1662885146.25,2022-09-11 09:32:26.250000
50,1662885146.5,2022-09-11 09:32:26.500000
51,1662885146.75,2022-09-11 09:32:26.750000
52,1662885147.0,2022-09-11 09:32:27.000000
53,1662885147.25,2022-09-11 09:32:27.250000
54,1662885147.5,2022-09-11 09:32:27.500000
55,1662885147.75,2022-09-11 09:32:27.750000
56,1662885148.0,2022-09-11 09:32:28.000000
